Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
MOD-NCB-G-0696-2017-PUR,Lot:  1,procurement of medicale material & medi,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
MOD-NCB-G-0695-2017-PUR,Lot:  1,የቧንቧ ዕቃዎች ግዥ (defence command and staff,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 4:00:00 PM"
MOD-NCB-G-0693-2017-PUR,Lot:  1,የኤሌክተሪክ ዕቃዎች ግዥ (defence command and sta,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 2:00:00 PM"
MOD-NCB-G-0690-2017-PUR,Lot:  1,የደረት ማይክራፎን፣የጠረጴዛ ማይክራፎን እና HDMI የግዥ(def,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
MOD-NCB-G-0690-2017-PUR,Lot:  1,የደረት ማይክራፎን፣የጠረጴዛ ማይክራፎን እና HDMI የግዥ(def,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
MOD-NCB-G-0588-2017-BID,Lot:  1,PROCURMENT OF CONSTRUCTION MATERIAL OF C,Ministry of Defense,Goods,National,Federal Government,"Apr 13, 2025, 5:00:00 PM"
MOD-NCB-G-0675-2017-PUR,Lot:  1,የጋራዥና የግምጃ ቤት ጋወን የግዥ ፍላጎት,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
MOD-NCB-G-0675-2017-PUR,Lot:  1,የጋራዥና የግምጃ ቤት ጋወን የግዥ ፍላጎት,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
MOD-NCB-NC-0572-2017-BID,Lot:  1,Procurement of ICT goods and installatio,Ministry of Defense,NonConsultancyServices,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
MOD-NCB-G-0557-2017-BID,Lot:  1,Lot 67 procurement of different spare pa,Ministry of Defense,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MOD-NCB-G-0562-2017-BID,Lot:  1,Lot 66 Procurement of  construction mate,Ministry of Defense,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MOD-NCB-G-0556-2017-BID,Lot:  1,የተሽከርካሪ ጎማ,Ministry of Defense,Goods,National,Federal Government,"Apr 6, 2025, 1:00:00 PM"
MOD-NCB-G-0552-2017-BID,Lot:  1,lot 20 stationary items 6219/ 2017,Ministry of Defense,Goods,National,Federal Government,"Apr 4, 2025, 12:00:00 PM"
MOD-NCB-G-0630-2017-PUR,Lot:  1,procurement of  የላዉደሪ ማጠቢያ ማሽን ማቴሪያል,Ministry of Defense,Goods,National,Federal Government,"Apr 21, 2025, 12:00:00 AM"
MOD-NCB-G-0551-2017-BID,Lot:  1,Purchase of electronics የኤሌክትሮኒክስ ዕቃ ግዥE,Ministry of Defense,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
MOD-NCB-G-0549-2017-BID,Lot:  1,lot 19 procurements of electronics 6313,Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 PM"
MOD-NCB-G-0548-2017-BID,Lot:  1,አላቂ የትምህርት መርጃ ዕቃ ግዥ (ENHQ2),Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
MOD-NCB-G-0549-2017-BID,Lot:  1,lot 19 procurements of electronics 6313,Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 PM"
MOD-NCB-G-0548-2017-BID,Lot:  1,አላቂ የትምህርት መርጃ ዕቃ ግዥ (ENHQ2),Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
MOD-NCB-G-0430-2017-BID-Re-bid,Lot:  1,የጋረጅ ቱታና ጋዋን ግዥ,Ministry of Defense,Goods,National,Federal Government,"Feb 19, 2026, 10:00:00 AM"
