Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
,,,,,,,
ESS-NCB-G-0081-2017-PUR,Lot:  1,Procurement of Office Supply/2017/,Ethiopian Statistics Service,Goods,National,Federal Government,"Mar 31, 2025, 5:20:00 PM"
MAU-NCB-G-0060-2017-BID,Lot:  1,የተቀነባበረ የጥጃ እና የወተት ላም መኖ ግዥ,Mekidelamba University,Goods,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
WKU-NCB-NC-0448-2017-PUR,Lot:  1,LOT 446 Purchase Requisition furniture M,Wolkite University,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
DU-NCB-G-0155-2017-PUR,Lot:  1,Book of abstracts \,Dilla University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
MoI-NCB-C-0343-2017-PUR,Lot:  1,የኢነርጂ ኦዲት የስልጠና አገልግሎት ግዥ 02/2017,Ministry of Industry,ConsultancyServices,National,Federal Government,"Apr 1, 2025, 12:00:00 AM"
WKU-NCB-G-0447-2017-PUR,Lot:  1,LOT 442 የወልቂጤ ዩኒቨርስቲ ለስምሪትና ጋራዥ ስራ አስፈጻሚ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
MoI-NCB-NC-0344-2017-PUR,Lot:  1,የሆቴል መስተንግዶ አገልግሎት ግዥ በቢሾፍት ከተማ ከመጋቢት 25,Ministry of Industry,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 12:00:00 AM"
DDU-NCB-G-0473-2017-PUR,Lot:  1,Lot- 21 CNC Machine purchase (Work Shop,Dire Dawa University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
DU-NCB-G-0154-2017-PUR,Lot:  1,የመድሃኒት ግብአት ግዥ,Dilla University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
AAU-NCB-G-0061-2017-BID,Lot:  1,Lot 53 Procurement of medical Items,Addis Ababa University,Goods,National,Federal Government,"Apr 15, 2025, 5:00:00 PM"
,,,,,,,
ESS-NCB-G-0081-2017-PUR,Lot:  1,Procurement of Office Supply/2017/,Ethiopian Statistics Service,Goods,National,Federal Government,"Mar 31, 2025, 5:20:00 PM"
MAU-NCB-G-0060-2017-BID,Lot:  1,የተቀነባበረ የጥጃ እና የወተት ላም መኖ ግዥ,Mekidelamba University,Goods,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
WKU-NCB-NC-0448-2017-PUR,Lot:  1,LOT 446 Purchase Requisition furniture M,Wolkite University,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
DU-NCB-G-0155-2017-PUR,Lot:  1,Book of abstracts \,Dilla University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
